9EA93383-7495-4558-9BC3-604D8BC36450	[Жалобы и апелляции]->[Процессы]->[На проверке района]->{Скрипт}	{        dynamic app = context.GetDynaDoc(context.Get<Guid>("InputDocumentId"));            context.	538CE4BD-A5A7-4E66-852D-CC482D666A3B	1	1	1	135
E5DD43E0-2210-4B67-8155-167EBEEDF969	[Жалобы и апелляции]->[Процессы]->[На рассмотрении ССЗН]->{Скрипт}	{        dynamic app = context.GetDynaDoc(context.Get<Guid>("InputDocumentId"));            context.	AC49E182-F7DC-46A3-8F26-E4B7FA9FD95C	1	1	1	134
01C148E9-3938-4550-B5BC-794558144D35	[Жалобы и апелляции]->[Процессы]->[Рассмотрен]->{Скрипт}	{        dynamic app = context.GetDynaDoc(context.Get<Guid>("InputDocumentId"));      context.Curren	6667B3FE-E10E-4A71-9438-3DEFE4E362BC	1	1	1	125
B63D3E8B-D3B9-4416-A82B-3D34550EE4A1	[Жалобы и апелляции]->[Процессы]->[Создать апелляционную жалобу]->{Скрипт}	{      if(context.SelectedDocumentId != null)      {      var docRepo = context.Documents;          	C3782716-0ABE-429B-8668-820592099133	1	1	1	1319
0524EA50-2727-4A3A-9A34-2BE17CE7EC9C	[Жалобы и апелляции]->[Процессы]->[Создать апелляционную жалобу]->{Фильтр}	{      context.FilterDocStateId = new Guid("{5D8FF804-E287-41D5-8594-35A333F3CB49}");//Отказано  }  	C3782716-0ABE-429B-8668-820592099133	1	1	1	184
6966A8D9-8E9B-4CAB-8FBD-F087CF9559C6	[Жалобы и апелляции]->[Процессы]->[Создать жалобу]->[Скрипт]	{      context.CurrentDocument = context.ReturnedContext.CurrentDocument;  }  	D85402DF-0231-4DA7-B4B4-EBFD5A55D3A3	1	1	1	78
3A0C4066-735F-462F-B480-36397D00C9D0	[Жалобы и апелляции]->[Процессы]->[Создать жалобу]->{Обработка джамоата}	{      var townDefId = new Guid("{B70BAD68-7532-471F-A705-364FD5F1BA9E}");            if(context.Sel	D85402DF-0231-4DA7-B4B4-EBFD5A55D3A3	1	1	1	608
91F59469-3A1D-4CED-98B8-AE6C6A5F1F76	[Жалобы и апелляции]->[Процессы]->[Создать жалобу]->{Обработка кишлака}	{      if(context.SelectedDocumentId != null)      {          context["VillageId"] = context.Selecte	D85402DF-0231-4DA7-B4B4-EBFD5A55D3A3	1	1	1	196
B8CCF1BD-564F-4A85-B1B0-D9C66297A128	[Жалобы и апелляции]->[Процессы]->[Создать жалобу]->{Обработка области}	{      var raionDefId = new Guid("{4D029337-C025-442E-8E93-AFD1852073AC}");             if(context.S	D85402DF-0231-4DA7-B4B4-EBFD5A55D3A3	1	1	1	564
C9B00010-A807-42B9-81FC-D6D2968D35DA	[Жалобы и апелляции]->[Процессы]->[Создать жалобу]->{Обработка района}	{           var djamoatDefId = new Guid("{967D525D-9B76-44BE-93FA-BD4639EA515A}");            if(con	D85402DF-0231-4DA7-B4B4-EBFD5A55D3A3	1	1	1	612
09F49FD7-87CD-4D78-8C62-616B0584FD6B	[Жалобы и апелляции]->[Процессы]->[Создать жалобу]->{Скрипт}	{      var docRepo = context.Documents;      var appState = context.CurrentDocument;      /*var app 	D85402DF-0231-4DA7-B4B4-EBFD5A55D3A3	1	1	1	392
E8FD9B44-ADF5-4DA0-8415-A0302BFE2E8E	[Заявление на АСП]->[Вложения к заявлению]->[Процессы]->[Добавить изображение к заявлению]->{Инициализация вложения}	{      if(context.SelectedDocumentId != null)          context.CurrentDocument["Application"] = cont	D26BA2F1-519A-4A9B-B4B1-F15CE5256B98	1	1	2	203
101B5E88-652F-4EA3-99E9-2DD048DC4E50	[Заявление на АСП]->[Вложения к заявлению]->[Процессы]->[Добавить изображение к заявлению]->{Проверка вложения}	{            if (context.ErrorMessages != null)          context.ErrorMessages.Clear();             	D26BA2F1-519A-4A9B-B4B1-F15CE5256B98	1	2	2	587
35D3B2D4-57D1-4AD7-9BAF-C85C6A9DE957	[Заявление на АСП]->[Вложения к заявлению]->[Процессы]->[Добавить изображение к заявлению]->{Фильтрация по статусу}	{      var appDefId = new Guid("{4F9F2AE2-7180-4850-A3F4-5FB47313BCC0}");      var onRegisteringStat	D26BA2F1-519A-4A9B-B4B1-F15CE5256B98	1	1	2	423
4366FFAE-F9B7-4DCF-9690-41BE71CF7311	[Заявление на АСП]->[Процессы]->[Верификация]->[Отчет по ходу выполнения планов проверки]->{Скрипт}	{      context.CurrentDocument["DateFormation"] = DateTime.Now;  }  	D670CBC5-4F89-4891-BA1C-C4D001863023	1	1	1	68
E58A7803-75EE-434E-951E-A86BB602AEC5	[Заявление на АСП]->[Процессы]->[Верификация]->[Отчет по ходу выполнения планов проверки]->{Скрипт}	{      var reportItemDefId = new Guid("{515B1008-3FC6-4473-B353-A8E2B55E4F11}");      var verifyShee	D670CBC5-4F89-4891-BA1C-C4D001863023	1	1	1	4861
3CF0EA52-81F6-4E30-B668-EBC0C228837B	[Заявление на АСП]->[Процессы]->[Верификация]->[Сформировать список заявлений для верификации]->[Скрипт]	{      var percentDictDefId = new Guid("{7EC919C6-ADA0-4CED-9E54-51BD8B81E66F}");      var percentPa	41E4F4B6-6B27-4679-A77F-6E39E7D2618C	1	1	1	969
0E8A2B3F-CA3A-4A35-89BC-F876388E54E0	[Заявление на АСП]->[Процессы]->[Верификация]->[Сформировать список заявлений для верификации]->{Запрос на заявления}	using System.Data;  public static class VerificationApps  {          public static void Execute(Work	41E4F4B6-6B27-4679-A77F-6E39E7D2618C	1	2	1	7160
4DD52B0E-5F44-4584-A626-102EDE3AD882	[Заявление на АСП]->[Процессы]->[Выписка КОН]->{Скрипт}	{       var docRepo = context.Documents;      var app = docRepo.LoadById(context.Get<Guid>("InputDoc	DA209359-8A77-4AD0-A19F-4DC14A8B82A3	1	1	1	1294
DDA2D6DE-433B-47E0-AE81-5EDF73540633	[Заявление на АСП]->[Процессы]->[Выписка КОН]->{Скрипт}	using System;  using System.IO;  using System.Drawing;  using System.Collections.Generic;  using Int	DA209359-8A77-4AD0-A19F-4DC14A8B82A3	1	1	1	30142
3DE8230A-AF66-4D20-809B-F83F7348171B	[Заявление на АСП]->[Процессы]->[Добавить доверительное лицо]->{Скрипт}	{      var person = (Guid?)context.SelectedDocumentId ?? Guid.Empty;      if(person == Guid.Empty) p	57AF003F-082C-4F66-94A7-F0304A507FE9	2	1	1	572
5BDDCAD6-54E6-4E7D-AF08-9895E6BB56AF	[Заявление на АСП]->[Процессы]->[Добавить доверительное лицо]->{Список членов семьи}	{      //Guid appStateId = context.Get<Guid>("InputDocumentId");            //context["Application_S	57AF003F-082C-4F66-94A7-F0304A507FE9	1	1	1	1197
F2996EA2-D297-4C25-96F1-31AFCD165DC4	[Заявление на АСП]->[Процессы]->[Добавить доход]->[Проверка на статус]	{         var AppDefId = new Guid("{4F9F2AE2-7180-4850-A3F4-5FB47313BCC0}");      var AppStateDefId 	F55375AC-9A8A-47D1-B805-3731A76EAE5C	1	1	5	934
EDED654B-0D80-423B-A4A5-250EBECA46AB	[Заявление на АСП]->[Процессы]->[Добавить доход]->{Инициализация}	{      context.CurrentDocument["Person"] = context.SelectedDocumentId;      context.CurrentDocument[	F55375AC-9A8A-47D1-B805-3731A76EAE5C	1	1	5	220
DA900B29-D541-40EB-9F85-F44390CFD616	[Заявление на АСП]->[Процессы]->[Добавить доход]->{Получить список физ.лиц}	{      Guid appStateId = context.Get<Guid>("InputDocumentId");            context["Application_State	F55375AC-9A8A-47D1-B805-3731A76EAE5C	1	1	5	1080
64B8231C-5EC4-465F-860B-F0FAFFF42936	[Заявление на АСП]->[Процессы]->[Добавить доход]->{Сохранить и добавить в заявление}	{      context.SuccessFlag = false;            var docRepo = context.Documents;            //var app	F55375AC-9A8A-47D1-B805-3731A76EAE5C	1	2	5	634
02E0D5FB-B4D6-45DA-8ED9-EE5B32CD7999	[Заявление на АСП]->[Процессы]->[Добавить земельный участок]->[Прверка на статус]	{         var AppDefId = new Guid("{4F9F2AE2-7180-4850-A3F4-5FB47313BCC0}");      var AppStateDefId 	7A52EC20-1E77-4A48-B23D-B8F640E2AA8C	1	1	5	958
968F3842-AC65-44D3-B207-184D985BD1F2	[Заявление на АСП]->[Процессы]->[Добавить земельный участок]->{Скрипт}	{      context.SuccessFlag = false;            var docRepo = context.Documents;            //var app	7A52EC20-1E77-4A48-B23D-B8F640E2AA8C	1	2	5	630
8411BEF3-6473-4087-A7B8-5EA1E141F16B	[Заявление на АСП]->[Процессы]->[Добавить земельный участок]->{Скрипт}	{      context.CurrentDocument["Person"] = context.SelectedDocumentId;      context.CurrentDocument[	7A52EC20-1E77-4A48-B23D-B8F640E2AA8C	1	1	5	221
4B54ED4F-DE0B-4E67-8833-E2D476DCA1F3	[Заявление на АСП]->[Процессы]->[Добавить земельный участок]->{Скрипт}	{      Guid appStateId = context.Get<Guid>("InputDocumentId");            context["Application_State	7A52EC20-1E77-4A48-B23D-B8F640E2AA8C	1	2	5	1219
95B15B52-3CE4-4B3F-9C64-57E562344EB0	[Заявление на АСП]->[Процессы]->[Добавить члена домохозяйства]->[Присвоение значений]	{     context.SuccessFlag = false;          var personId = (Guid?)context.ReturnedContext["PersonShe	BAB5331D-A3F8-4748-B17F-F282B2D623BF	1	1	5	426
9B79BA83-40EF-4CF9-B08A-144948ADA6D5	[Заявление на АСП]->[Процессы]->[Добавить члена домохозяйства]->[Проверка на дублирование гражданина]	{      context.SuccessFlag = false;        Doc app;      //using(DocRepository docRepo = new IDocRep	BAB5331D-A3F8-4748-B17F-F282B2D623BF	1	2	5	1379
07C866E9-94CA-43BE-BE34-A584AD0EF01D	[Заявление на АСП]->[Процессы]->[Добавить члена домохозяйства]->[Проверка состояния заявления]	{         var AppDefId = new Guid("{4F9F2AE2-7180-4850-A3F4-5FB47313BCC0}");      var AppStateDefId 	BAB5331D-A3F8-4748-B17F-F282B2D623BF	1	1	5	923
6CF78F50-A387-4590-92A9-3B00B6A11089	[Заявление на АСП]->[Процессы]->[Добавить члена домохозяйства]->{Подготовка района}	{      context.SuccessFlag = false;        var appState = context.Documents.LoadById(context.Get<Gui	BAB5331D-A3F8-4748-B17F-F282B2D623BF	1	1	5	518
C42235CA-3918-45B5-8BE5-C188C4997DCC	[Заявление на АСП]->[Процессы]->[Добавить члена домохозяйства]->{Связать с заявителем}	{     context.SuccessFlag = false;          //var docRepo = context.Documents;     Doc app = (Doc)co	BAB5331D-A3F8-4748-B17F-F282B2D623BF	1	1	5	620
353F6324-4BFE-48A2-A571-DE0A4FB407B8	[Заявление на АСП]->[Процессы]->[Зарегистрировать умершего]->{Выборка дел}	{      context.SuccessFlag = false;      var docRepo = context.Documents;      var deadInfo = docRep	BA57A282-0A75-4753-B2ED-DFD69EC47F42	1	2	1	8203
E87568FD-6186-4B7C-B85A-E2CD9D663848	[Заявление на АСП]->[Процессы]->[Зарегистрировать умершего]->{Установка результата}	{      var app = (Doc)context["Application"];      var newAppState = (Doc)context["NewAppState"];   	BA57A282-0A75-4753-B2ED-DFD69EC47F42	1	1	1	3096
E8FEBA1B-1308-4FBD-BF6B-E06472507DCE	[Заявление на АСП]->[Процессы]->[Изменение адреса]->[Изменить АТД заявления]->{Проверить адрес}	{      var docRepo = context.Documents;      var appState = context.CurrentDocument;        if (cont	3AEB3ED3-F1CF-454C-9E90-F917649181C8	1	2	3	822
EA5B128F-3C65-4DCF-B2FC-CE9F2B41EF26	[Заявление на АСП]->[Процессы]->[Изменение адреса]->[Изменить АТД заявления]->{Проверка заявления}	{                                                                               var appStateDefId = 	3AEB3ED3-F1CF-454C-9E90-F917649181C8	1	1	3	1214
F35F8AF7-CA5D-460C-B87E-33ECDBE1B276	[Заявление на АСП]->[Процессы]->[Изменение адреса]->[Изменить джамоат]->{Скрипт}	{      if(context.SelectedDocumentId != null)      {          context["VillageId"] = context.Selecte	FEE0C033-966C-4DF4-BED0-80F93F274397	1	1	6	196
F23C0E1A-0905-41C7-BD39-40E69E7A8E6D	[Заявление на АСП]->[Процессы]->[Изменение адреса]->[Изменить джамоат]->{Скрипт}	{        var docRepo = context.Documents;      var appState = docRepo.LoadById((Guid)context["InputD	FEE0C033-966C-4DF4-BED0-80F93F274397	1	1	6	522
8C396CC6-9B78-489A-8B72-8CC79601AD29	[Заявление на АСП]->[Процессы]->[Изменение адреса]->[Изменить джамоат]->{Скрипт}	{      var townDefId = new Guid("{B70BAD68-7532-471F-A705-364FD5F1BA9E}");            if(context.Sel	FEE0C033-966C-4DF4-BED0-80F93F274397	1	1	6	557
900ED26C-C4DE-41A5-87A2-D3DD0966DC6E	[Заявление на АСП]->[Процессы]->[Изменение адреса]->[Изменить джамоат]->{Скрипт}	{      var appState = context.Documents.LoadById(context.Get<Guid>("InputDocumentId"));      //appSt	FEE0C033-966C-4DF4-BED0-80F93F274397	3	1	6	290
8C9EE7B2-7A43-4919-A67C-EB242A1BE5B2	[Заявление на АСП]->[Процессы]->[Изменение адреса]->[Изменить джамоат]->{Скрипт}	{      var docRepo = context.Documents;      var appState = docRepo.LoadById(context.Get<Guid>("Inpu	FEE0C033-966C-4DF4-BED0-80F93F274397	1	1	6	534
DFA29D42-A9F6-4130-A4DC-12971F7CDF1E	[Заявление на АСП]->[Процессы]->[Изменение адреса]->[Изменить область]->{Скрипт}	{      var raionDefId = new Guid("{4D029337-C025-442E-8E93-AFD1852073AC}");      var appStateDefId =	09DFD3E3-DCB6-4A3A-B187-4168A169DCCC	1	1	7	656
4FF6A7C2-4D84-4C33-AF9B-1F60F08DD198	[Заявление на АСП]->[Процессы]->[Изменение адреса]->[Изменить область]->{Скрипт}	{           var djamoatDefId = new Guid("{967D525D-9B76-44BE-93FA-BD4639EA515A}");            if(con	09DFD3E3-DCB6-4A3A-B187-4168A169DCCC	1	1	7	573
0D0D1F6B-453D-405F-A8A2-3B1121710441	[Заявление на АСП]->[Процессы]->[Изменение адреса]->[Изменить область]->{Скрипт}	{      if(context.SelectedDocumentId != null)      {          context["VillageId"] = context.Selecte	09DFD3E3-DCB6-4A3A-B187-4168A169DCCC	1	1	7	196
E4E05F87-8D51-45F0-8EFD-55674A64A5A1	[Заявление на АСП]->[Процессы]->[Изменение адреса]->[Изменить область]->{Скрипт}	{                                                                               var appStateDefId = 	09DFD3E3-DCB6-4A3A-B187-4168A169DCCC	1	1	7	965
8D6E59E0-C35D-4454-B204-5CB4CF3E36C2	[Заявление на АСП]->[Процессы]->[Изменение адреса]->[Изменить область]->{Скрипт}	{      Doc appState = context.CurrentDocument;                                               if(appS	09DFD3E3-DCB6-4A3A-B187-4168A169DCCC	3	1	7	981
9FE3C9CC-8231-481D-A9B3-9BE5CC44460D	[Заявление на АСП]->[Процессы]->[Изменение адреса]->[Изменить область]->{Скрипт}	{      var townDefId = new Guid("{B70BAD68-7532-471F-A705-364FD5F1BA9E}");            if(context.Sel	09DFD3E3-DCB6-4A3A-B187-4168A169DCCC	1	1	7	557
D4E5A015-D6DA-43AF-BA0B-AC84B2C03282	[Заявление на АСП]->[Процессы]->[Изменение адреса]->[Изменить район]->{Запросить джамоаты}	{           var djamoatDefId = new Guid("{967D525D-9B76-44BE-93FA-BD4639EA515A}");            if(con	7F77CB66-3FF8-46D2-BDB9-696BBB5A9A88	1	1	7	571
363DEC8D-74AC-4296-B79E-F3AAA9E08C15	[Заявление на АСП]->[Процессы]->[Изменение адреса]->[Изменить район]->{Запросить кишлаки}	{      var townDefId = new Guid("{B70BAD68-7532-471F-A705-364FD5F1BA9E}");            if(context.Sel	7F77CB66-3FF8-46D2-BDB9-696BBB5A9A88	1	1	7	555
7F5878B7-5C86-4C26-B993-6AD146608974	[Заявление на АСП]->[Процессы]->[Изменение адреса]->[Изменить район]->{Запросить список районов}	{      var docRepo = context.Documents;      var appState = docRepo.LoadById(context.Get<Guid>("Inpu	7F77CB66-3FF8-46D2-BDB9-696BBB5A9A88	1	1	7	519
9F9110B7-3B86-4E20-B633-B64976DCDC66	[Заявление на АСП]->[Процессы]->[Изменение адреса]->[Изменить район]->{Скрипт}	{        var docRepo = context.Documents;      var appState = docRepo.LoadById((Guid)context["InputD	7F77CB66-3FF8-46D2-BDB9-696BBB5A9A88	1	1	7	520
7853A905-9D6A-47E7-86F3-DD7366281670	[Заявление на АСП]->[Процессы]->[Изменение адреса]->[Изменить район]->{Скрипт}	{      if(context.SelectedDocumentId != null)      {          context["VillageId"] = context.Selecte	7F77CB66-3FF8-46D2-BDB9-696BBB5A9A88	1	1	7	196
5C15F5FB-E6F2-4CBC-9FCB-6A41AC671744	[Заявление на АСП]->[Процессы]->[Изменение адреса]->[Изменить район]->{Сохранить результат}	{      var appState = context.Documents.LoadById(context.Get<Guid>("InputDocumentId"));      appStat	7F77CB66-3FF8-46D2-BDB9-696BBB5A9A88	3	1	7	286
B5432D5A-5295-4802-B020-1396D8283919	[Заявление на АСП]->[Процессы]->[Изменение адреса]->[Изменить село]->{Скрипт}	{        var docRepo = context.Documents;      var appState = docRepo.LoadById((Guid)context["InputD	049F3C77-7292-4185-8A46-6E5DC3E8183E	1	1	2	521
6B5A5E70-5F97-4B9B-B3BE-692EDFCA90AA	[Заявление на АСП]->[Процессы]->[Изменение адреса]->[Изменить село]->{Скрипт}	{      var appState = context.Documents.LoadById(context.Get<Guid>("InputDocumentId"));      appStat	049F3C77-7292-4185-8A46-6E5DC3E8183E	1	1	2	188
0E20037D-9B9E-445C-93EC-AB8016225619	[Заявление на АСП]->[Процессы]->[Изменение адреса]->[Изменить село]->{Скрипт}	{      var docRepo = context.Documents;      var appState = docRepo.LoadById(context.Get<Guid>("Inpu	049F3C77-7292-4185-8A46-6E5DC3E8183E	1	1	2	600
2087B99E-03FD-4F2B-9A51-54A6296F2101	[Заявление на АСП]->[Процессы]->[Массовый расчет КОН]->{Подготовка списка заявлений}	{      var appDefId = new Guid("{4F9F2AE2-7180-4850-A3F4-5FB47313BCC0}");      var onRegStateId = ne	00479F39-136C-4CBF-9357-F372A4949F5C	1	1	1	996
B86498A9-BFD0-491B-9E1F-D0DD076264EC	[Заявление на АСП]->[Процессы]->[Массовый расчет КОН]->{Подготовка цикла}	{      //throw new Exception(context["Apps"].GetType().Name);       var apps = new List<object>();//	00479F39-136C-4CBF-9357-F372A4949F5C	2	2	1	1243
10C98378-F3DA-4DFC-A205-BCA5DE3A4611	[Заявление на АСП]->[Процессы]->[Обновление информации о составе семьи]->{Скрипт}	{      if(context["AppStateForFamilyRecalc"] == null)          throw new ApplicationException("Докум	81D9D951-3D57-4088-8076-4726A3BC3444	1	1	5	2839
E60F5B51-FF0F-4CDE-B371-6369D7890F20	[Заявление на АСП]->[Процессы]->[Печать таблицы КОН]->{Скрипт}	using System;  using System.IO;  using System.Drawing;  using System.Collections.Generic;  using Int	F1D33D3C-0562-4416-B351-344D0A41D0E2	1	1	1	24980
63E5EE57-0080-4FDE-8BC6-634B0ED20EC1	[Заявление на АСП]->[Процессы]->[РАЗОВЫЙ  процесс связанный со смерти граждан]->[Скрипт]	{                            //var appDefId = new Guid("{4F9F2AE2-7180-4850-A3F4-5FB47313BCC0}");   	8C1B5244-82DD-48FB-B8C9-343E7FD16BFD	1	1	1	1797
EF2F8FFB-8F21-4431-88A2-C9A10416DF8B	[Заявление на АСП]->[Процессы]->[РАЗОВЫЙ  процесс связанный со смерти граждан]->[Скрипт]	{                            //var appDefId = new Guid("{4F9F2AE2-7180-4850-A3F4-5FB47313BCC0}");   	8C1B5244-82DD-48FB-B8C9-343E7FD16BFD	1	1	1	2022
2987FB3F-1FD6-4D3D-820C-29DF52827472	[Заявление на АСП]->[Процессы]->[Создание умершего человека]->[Вернуть заявителя]	{      context.CurrentDocument = context.ReturnedContext.CurrentDocument;  }      	11966693-234C-43DF-B674-ACFD7A73352A	1	1	1	82
380B6947-829D-48CF-91E7-4FB3C007E204	[Заявление на АСП]->[Процессы]->[Создание умершего человека]->[Поиск заявлений]	{                       var appDefId = new Guid("{4F9F2AE2-7180-4850-A3F4-5FB47313BCC0}");      var 	11966693-234C-43DF-B674-ACFD7A73352A	1	1	1	4231
39AA7195-076D-4074-ADE0-DE7A70C34D33	[Заявление на АСП]->[Процессы]->[Создание умершего человека]->[Проверка на остаток выплаты]	{      if(context["CurrentApplicationStateId"] != null) return;      context.SuccessFlag = true;    	11966693-234C-43DF-B674-ACFD7A73352A	1	3	1	3054
6F9FC5A3-177B-4DF2-9223-A2FFA5E5A27D	[Заявление на АСП]->[Процессы]->[Создание умершего человека]->[Создание уведомления о преназначении]	{                            var newStateId = new Guid("{69BDBC88-A1B5-4686-B49A-0D9EB93D7207}");   	11966693-234C-43DF-B674-ACFD7A73352A	1	1	1	1261
16744082-9989-49E3-8723-EE4BD7829431	[Заявление на АСП]->[Процессы]->[Создание умершего человека]->{Изменение}	{      var docRepo = context.Documents;      var appId = (Guid)context["AppId"];      var newStateId	11966693-234C-43DF-B674-ACFD7A73352A	1	1	1	669
695B2612-037D-4B38-9771-E5C0BB9A5241	[Заявление на АСП]->[Процессы]->[Создание умершего человека]->{Прекращение}	{      var docRepo = context.Documents;      var appId = (Guid)context["AppId"];      var newStateId	11966693-234C-43DF-B674-ACFD7A73352A	1	1	1	1235
616ACC5D-E6B7-40E5-8C99-4BB4967D34D8	[Заявление на АСП]->[Процессы]->[Создать заявление]->[Инициализация адреса]	{      context.CurrentDocument["RegionId"] = context["OblastId"];      context.CurrentDocument["Dist	E9FC6EB0-8D94-4A86-8FF4-E28BD43A93CE	1	1	1	135
63BA7AD9-DF26-42F4-B9D3-08AEAE8BE3EE	[Заявление на АСП]->[Процессы]->[Создать заявление]->[Проверка на статусы и нахождения гражданина в другом заявления]	{      var appDefId = new Guid("{4F9F2AE2-7180-4850-A3F4-5FB47313BCC0}");      var appStateDefId = n	E9FC6EB0-8D94-4A86-8FF4-E28BD43A93CE	1	1	1	4294
D73064DC-B6C1-46F7-A747-FCEEAE105097	[Заявление на АСП]->[Процессы]->[Создать заявление]->{Записать выбранный кишлак}	{      if(context.SelectedDocumentId != null)      {          context["VillageId"] = context.Selecte	E9FC6EB0-8D94-4A86-8FF4-E28BD43A93CE	1	1	1	196
7B230D5F-77FD-43C7-B7E4-7DA5594AAB8E	[Заявление на АСП]->[Процессы]->[Создать заявление]->{Записать заявление в контекст}	{      context["Application"] = context.CurrentDocument;        if (context.Data.ErrorMessages != nu	E9FC6EB0-8D94-4A86-8FF4-E28BD43A93CE	1	2	1	541
EE6DCEFA-6B96-4D91-B6C1-94D3831FA026	[Заявление на АСП]->[Процессы]->[Создать заявление]->{Записать Область,Район,Джамоат,Кишлак в состояние АСП}	{      var docRepo = context.Documents;      var appState = context.CurrentDocument;        /*appSta	E9FC6EB0-8D94-4A86-8FF4-E28BD43A93CE	5	2	1	2204
FBFAFC66-394C-4391-ABDF-07316B728AFD	[Заявление на АСП]->[Процессы]->[Создать заявление]->{Подмена документа из пред. процесса}	{      var rc = context.ReturnedContext;            context.CurrentDocument = rc.CurrentDocument;   	E9FC6EB0-8D94-4A86-8FF4-E28BD43A93CE	1	1	1	186
BF8104DB-0D61-4742-B370-D10D08987B75	[Заявление на АСП]->[Процессы]->[Создать заявление]->{Проверка веденных данных}	{      if (context.Data.ErrorMessages != null)          context.Data.ErrorMessages.Clear();      con	E9FC6EB0-8D94-4A86-8FF4-E28BD43A93CE	1	2	1	2352
5646A791-98A9-48F4-A8F3-7BFCCF961162	[Заявление на АСП]->[Процессы]->[Создать заявление]->{Сбросить контекст}	{      context.CurrentQuery = null;      context.SelectedDocumentId = null;      context.Data.UserAc	E9FC6EB0-8D94-4A86-8FF4-E28BD43A93CE	3	1	1	119
CC3168DE-A839-4883-8FD7-3D32BECD8C86	[Заявление на АСП]->[Процессы]->[Создать заявление]->{Связать с заявлением АСП}	{      var app = (Doc)context["Application"];      var appState = context.CurrentDocument;      app[	E9FC6EB0-8D94-4A86-8FF4-E28BD43A93CE	1	1	1	1348
62241B55-10A0-4C83-8DB1-FBFFCB35AC17	[Заявление на АСП]->[Процессы]->[Создать заявление]->{Установка параметра}	{      context["FillAll"] = true;  }  	E9FC6EB0-8D94-4A86-8FF4-E28BD43A93CE	1	1	1	38
6C191895-7AF8-4EB3-8251-464BDA9709ED	[Заявление на АСП]->[Процессы]->[Создать заявление]->{Формирование списка джамоатов}	{           var djamoatDefId = new Guid("{967D525D-9B76-44BE-93FA-BD4639EA515A}");            if(con	E9FC6EB0-8D94-4A86-8FF4-E28BD43A93CE	1	2	1	971
053084B3-F382-4AAF-BA00-C9D085AEFB22	[Заявление на АСП]->[Процессы]->[Создать заявление]->{Формирование списка кишлаков}	{      var townDefId = new Guid("{B70BAD68-7532-471F-A705-364FD5F1BA9E}");            if(context.Sel	E9FC6EB0-8D94-4A86-8FF4-E28BD43A93CE	1	2	1	962
891614CE-223E-423A-9AE5-0D245DB4AE76	[Заявление на АСП]->[Процессы]->[Создать заявление]->{Формирование списка районов}	{      var raionDefId = new Guid("{4D029337-C025-442E-8E93-AFD1852073AC}");             if(context.S	E9FC6EB0-8D94-4A86-8FF4-E28BD43A93CE	1	1	1	1015
F130444E-6751-4B7A-BFF0-EE256A499CE6	[Заявление на АСП]->[Процессы]->[Статусы]->[Возврат на доработку]->{Скрипт}	{      var docRepo = context.Documents; //new DocRepository(context.UserId);            docRepo.Save	2627E743-2CB1-40DA-9BF9-5C7EDC00423A	1	1	1	698
2E6A31FB-E15B-4E88-8EC1-E7B7870CB2BA	[Заявление на АСП]->[Процессы]->[Статусы]->[Отказ заявления]->{Скрипт}	{      context.CurrentDocument = context.Documents.LoadById(context.Get<Guid>("InputDocumentId"));  	18D8A822-E969-4306-AA99-7EE08695F88D	1	1	1	103
5E74602E-C6FA-440E-80B5-EB514D7F9F52	[Заявление на АСП]->[Процессы]->[Статусы]->[Отказать по ошибке в вводе]->{Скрипт}	{        dynamic app = context.GetDynaDoc(context.Get<Guid>("InputDocumentId"));            context.	F1EC5FC4-2E90-42CD-B016-7A682FD5866A	1	1	2	134
4BE3CB43-5E18-4463-9148-3832F800D54F	[Заявление на АСП]->[Процессы]->[Статусы]->[Установка статуса "Проверены"]->{Скрипт}	{      context.CurrentDocument = context.Documents.LoadById(context.Get<Guid>("InputDocumentId"));  	60007D25-D876-4E83-BB23-9CBC73654AD3	1	1	1	104
60F4EC16-ED61-433A-A317-B9B9EC26E520	[Заявление на АСП]->[Процессы]->[Статусы]->[Установления статуса готов к назначению]->{Скрипт}	{      var docRepo = context.Documents;      var app = docRepo.LoadById(context.Get<Guid>("InputDocu	71E085C2-E957-4238-AFBF-5BCAC3C7E8EC	1	1	1	1224
B4F83886-679E-49F8-85EA-F7606C4EE0A4	[Заявление на АСП]->[Процессы]->[Статусы]->[Установления статуса готов к назначению]->{Скрипт}	{            var AppRegisteredStateId = new Guid("{0AE798A6-5471-4E2C-999E-7371799F6AD0}");         	71E085C2-E957-4238-AFBF-5BCAC3C7E8EC	1	1	1	1212
756E5DFE-395A-4E6E-8C1A-CCB6BE5B8342	[Заявление на АСП]->[Процессы]->[Удалить доход]->[Проверка статус документа]	{         var AppDefId = new Guid("{4F9F2AE2-7180-4850-A3F4-5FB47313BCC0}");      var AppStateDefId 	A50B1AB6-B5A4-4B9B-917A-DCABB5EB53AF	1	1	5	934
4ADCB995-78AA-46C8-9127-48090C294898	[Заявление на АСП]->[Процессы]->[Удалить доход]->{Скрипт}	{      var app = context.GetDynaDoc(context.Get<Guid>("InputDocumentId"));      var incomes = app.Ge	A50B1AB6-B5A4-4B9B-917A-DCABB5EB53AF	1	1	5	380
