59AFFA5F-437A-40FA-B59A-9958E4479816	[Взаимодействие с НРСЗ]->[Миграция в НРСЗ]->[Процессы]->[Миграция социальных карточек]->[Подготовка миграции]	{      context.CurrentDocument["Date"] = DateTime.Now;      context["Registry"] = context.CurrentDoc	149E1A42-8E58-4C7F-8329-0A19DD66B9B3	1	1	1	3611
109CF27C-B1D6-4757-A08F-100605510B45	[Взаимодействие с НРСЗ]->[Миграция в НРСЗ]->[Процессы]->[Миграция социальных карточек]->[Подготовка элемента для миграции]	{      var pins = new List<object>((IEnumerable<object>) context["Pins"]);      var cards = new List	149E1A42-8E58-4C7F-8329-0A19DD66B9B3	2	2	1	1073
B6290CC0-C840-40D2-BA50-13F4F0EEF557	[Взаимодействие с НРСЗ]->[Миграция в НРСЗ]->[Процессы]->[Миграция социальных карточек]->[Сохранение журнала]	{      var registry = (Doc) context["Registry"];      var successCount = (int?) context["SuccessCoun	149E1A42-8E58-4C7F-8329-0A19DD66B9B3	1	1	1	361
6BED2E44-DA89-43AE-9E6D-6B068859D1D8	[Взаимодействие с НРСЗ]->[Миграция в НРСЗ]->[Процессы]->[Миграция справок на погребение]->[Обработка результата]	{      var account = (Doc) context["Account"];        var successCount = (int?) context["SuccessCoun	8F121943-AF9F-4E77-BB7F-CE8C916F70E4	1	1	1	1925
FDE74652-97E0-471C-8045-AB2C4748DDE5	[Взаимодействие с НРСЗ]->[Миграция в НРСЗ]->[Процессы]->[Миграция справок на погребение]->[Подготовка миграции]	{      context.CurrentDocument["Date"] = DateTime.Now;      context["Registry"] = context.CurrentDoc	8F121943-AF9F-4E77-BB7F-CE8C916F70E4	1	1	1	4009
F3435C8C-DCF0-4E40-93A2-23F2B7743F9D	[Взаимодействие с НРСЗ]->[Миграция в НРСЗ]->[Процессы]->[Миграция справок на погребение]->[Подготовка элемента для миграции]	{  //    var persons = new List<object>((IEnumerable<object>) context["Persons"]);      var pins = n	8F121943-AF9F-4E77-BB7F-CE8C916F70E4	2	2	1	1429
DB6C5A20-8E7E-49C1-9D06-3E716772647F	[Взаимодействие с НРСЗ]->[Миграция в НРСЗ]->[Процессы]->[Миграция справок на погребение]->[Сохранение журнала]	{      var registry = (Doc) context["Registry"];      var successCount = (int?) context["SuccessCoun	8F121943-AF9F-4E77-BB7F-CE8C916F70E4	1	1	1	361
B9369024-708A-4779-9E49-79CE8D3F7A7E	[Взаимодействие с НРСЗ]->[Миграция в НРСЗ]->[Процессы]->[Миграция справок о статусе малообеспеченной семьи]->[Обработка результата]	{      var account = (Doc) context["Account"];        var successCount = (int?) context["SuccessCoun	A58E0E0B-4EA0-4904-9D5E-253708F4FB15	1	1	1	1892
C2B31470-4AF7-474E-B631-EFE56472F106	[Взаимодействие с НРСЗ]->[Миграция в НРСЗ]->[Процессы]->[Миграция справок о статусе малообеспеченной семьи]->[Подготовка миграции]	{      context.CurrentDocument["Date"] = DateTime.Now;      context["Registry"] = context.CurrentDoc	A58E0E0B-4EA0-4904-9D5E-253708F4FB15	1	1	1	3958
374EE6E4-72B2-4B41-8F28-FC85FCA32961	[Взаимодействие с НРСЗ]->[Миграция в НРСЗ]->[Процессы]->[Миграция справок о статусе малообеспеченной семьи]->[Подготовка элемента для миграции]	{  //    var persons = new List<object>((IEnumerable<object>) context["Persons"]);      var pins = n	A58E0E0B-4EA0-4904-9D5E-253708F4FB15	2	2	1	1545
66FE1246-AAC7-4610-8853-8AD84B7A69F8	[Взаимодействие с НРСЗ]->[Миграция в НРСЗ]->[Процессы]->[Миграция справок о статусе малообеспеченной семьи]->[Сохранение журнала]	{      var registry = (Doc) context["Registry"];      var successCount = (int?) context["SuccessCoun	A58E0E0B-4EA0-4904-9D5E-253708F4FB15	1	1	1	361
723BA098-879D-4928-9386-5859C7E32C7D	[Взаимодействие с НРСЗ]->[Миграция в НРСЗ]->[Процессы]->[Миграция членов семьи заявителей]->[Обработка результата]	{      context.SuccessFlag = false;      var successCount = (int?) context["SuccessCount"] ?? 0;    	EA0BBBA5-C683-41C9-B3A8-008663A224CF	1	2	1	2323
266BC44A-86D9-4B6A-9AB2-AC26944DFBCE	[Взаимодействие с НРСЗ]->[Миграция в НРСЗ]->[Процессы]->[Миграция членов семьи заявителей]->[Обработка создания]	{      var person = (Doc) context["NewPerson"];        var successCount = (int?) context["SuccessCou	EA0BBBA5-C683-41C9-B3A8-008663A224CF	1	1	1	1954
B605184F-1F31-49D8-BDD6-6B3439B387D1	[Взаимодействие с НРСЗ]->[Миграция в НРСЗ]->[Процессы]->[Миграция членов семьи заявителей]->[Подготовка данных]	{      context.CurrentDocument["Date"] = DateTime.Now;      context["Registry"] = context.CurrentDoc	EA0BBBA5-C683-41C9-B3A8-008663A224CF	1	1	1	3609
9362A0F9-DB95-4B94-BB33-D0E8FB578663	[Взаимодействие с НРСЗ]->[Миграция в НРСЗ]->[Процессы]->[Миграция членов семьи заявителей]->[Подготовка элемента для миграции]	{      var persons = new List<object>((IEnumerable<object>) context["Persons"]);      var regions = 	EA0BBBA5-C683-41C9-B3A8-008663A224CF	3	3	1	1210
1A0B937B-218D-4665-B12C-2B9F19CFDD86	[Взаимодействие с НРСЗ]->[Миграция в НРСЗ]->[Процессы]->[Миграция членов семьи заявителей]->[Сохранение журнала]	{      var registry = (Doc) context["Registry"];      var successCount = (int?) context["SuccessCoun	EA0BBBA5-C683-41C9-B3A8-008663A224CF	1	1	1	361
